RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
753911,608,"Ozark, AL",msa,AL,92467,96467,104467,89533,102233,108254,116187,104937,98900,96233,92317,88592,92258,100592,106800,112467,109967,114167,115375,118875,117638,111929,112596,102083,99650,96317,108317,121250,127250,131167,137500,130483,134233,128483,133750,132500,131283,126367,115700,115417,127067,137733,141650,145333,144183,150767,145767,150950,148550,144217,143517,137650,139983,141733,155750,157333,162250,153217,145633,142300,138400,150067,159733,172167,168167,156000
394628,610,"Gardnerville Ranchos, NV",msa,NV,406917,388550,401883,391383,413750,407083,422117,428450,427783,420833,417167,424500,446667,451133,437800,434133,424667,450500,444167,451833,447333,430333,450500,455167,492133,475967,484967,456333,454667,443833,484167,509167,545000,546667,554967,556633,574967,581667,592833,566167,562833,548604,575770,613270,622500,617667,618333,645467,671467,649133,647500,650833,664833,637500,644167,646000,680000,690000,665000,606633,568300,573300,573333,551667,532000,592833
394437,612,"Ca-¦on City, CO",msa,CO,174150,180983,184133,188967,189633,193667,192300,207933,209100,208133,194167,189483,191233,189883,202400,202400,211083,215750,221667,225868,216202,222502,223300,229633,228883,225550,237217,236467,235900,229567,229267,239783,250617,261450,256500,252333,257000,278667,282000,282000,280333,287000,296483,306483,324817,332633,340633,338800,337458,319458,322108,328900,343333,332767,326317,333517,347767,348800,326833,309000,307000,332333,346167,356326,348826,346660
394906,614,"New Castle, IN",msa,IN,,,81633,82133,91317,94333,103000,104833,110167,105567,107342,108658,102092,92567,88750,92750,98633,107133,107425,114958,104775,112467,107800,105283,104467,98133,97833,87667,92000,99333,117167,125817,124017,117517,110533,117667,108667,111333,102333,109083,111417,127667,142250,142817,148217,146384,144150,135317,133817,132150,133667,134333,136833,135333,143667,156167,154000,136417,126417,132383,140300,133300,126667,136333,151000,155967
394478,615,"Clovis, NM",msa,NM,146300,152050,145400,145583,136500,145983,155317,162317,155667,162917,159250,162083,147167,154533,155533,158700,155417,153750,159883,158033,157950,155650,157233,170817,171083,174683,167683,168750,166833,166167,168833,174833,177333,180000,175750,180717,184217,188467,193467,195300,197133,200467,198967,196467,196917,198567,205733,192400,195583,194750,201000,199667,199500,208917,212250,216083,206000,206000,207667,200667,184000,192333,200817,224150,217483,222167
394431,617,"Cadillac, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166000,170833,199167,210333
394819,621,"Malone, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147990,158723
394391,623,"Blackfoot, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326000,303833,326667,338333,349833
395017,624,"Red Wing, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228554,251221,271000,280475
394918,625,"Nogales, AZ",msa,AZ,143867,154667,153817,147983,147817,148333,159273,163940,169107,164833,160167,169333,173833,186317,183983,177817,170167,166333,176333,181167,180000,178583,178583,200250,216667,227583,207250,199750,189667,193250,185750,195250,198833,207167,234833,259667,252917,225917,211950,237033,247533,259833,246500,247333,244833,250167,243333,253333,261333,283333,295833,321500,313667,292167,271833,272167,283000,275000,296667,295667,304833,278833,283833,289833,302467,302467
