RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
394804,368,"Longview, WA",msa,WA,231542.0,227375.0,224310.0,231102.0,243602.0,248667.0,253300.0,251600.0,253267.0,250790.0,242823.0,247823.0,247933.0,261767.0,261767.0,264167.0,263167.0,269833.0,277167.0,284000.0,280000.0,275967.0,278967.0,280633.0,288667.0,291333.0,292000.0,287333.0,291667.0,304333.0,311667.0,311667.0,319000.0,317667.0,319333.0,307667.0,318167.0,333000.0,346333.0,357833.0,359667.0,364633.0,365133.0,361800.0,362500.0,358967.0,358300.0,360300.0,357167.0,361167.0,366833.0,374983.0,371650.0,363467.0,364817.0,371733.0,364917.0,350667.0,345833.0,357000.0,365400.0,371467.0,384300.0,384067
394734,370,"Kankakee, IL",msa,IL,139750.0,146633.0,143217.0,145217.0,150250.0,152333.0,152333.0,149000.0,148167.0,141917.0,142000.0,133833.0,138083.0,136333.0,143667.0,153083.0,156417.0,165417.0,157667.0,151833.0,150833.0,145167.0,143250.0,131583.0,134417.0,142167.0,149833.0,156000.0,161500.0,167167.0,169750.0,170583.0,165417.0,162833.0,166333.0,173083.0,170750.0,169000.0,161917.0,169250.0,169833.0,177000.0,172000.0,171167.0,169167.0,170667.0,172833.0,166083.0,169917.0,168250.0,188500.0,190167.0,192667.0,181483.0,174483.0,173317.0,164667.0,165667.0,156000.0,150333.0,142483.0,145817.0,165983.0,179167
395095,372,"Show Low, AZ",msa,AZ,200167.0,196833.0,209167.0,212500.0,210833.0,201667.0,199000.0,204083.0,210083.0,214217.0,219133.0,223100.0,224967.0,221633.0,223333.0,224500.0,236133.0,238467.0,237633.0,227667.0,229333.0,231133.0,224583.0,222083.0,219117.0,242733.0,241383.0,244550.0,244633.0,269817.0,276767.0,289617.0,284867.0,294783.0,282783.0,284592.0,285392.0,292475.0,303033.0,314721.0,324637.0,326671.0,332917.0,332083.0,343767.0,346667.0,364167.0,340833.0,340796.0,326163.0,353663.0,363330.0,385446.0,391280.0,384150.0,372492.0,360825.0,348225.0,349067.0,342917.0,350517.0,338850.0,350000.0,361667
395023,373,"Richmond, KY",msa,KY,146833.0,156333.0,155833.0,161333.0,157000.0,156500.0,156000.0,158583.0,160083.0,165083.0,164167.0,159750.0,155917.0,158583.0,162633.0,166100.0,170450.0,172650.0,171517.0,168500.0,164833.0,168800.0,171133.0,176800.0,176467.0,180383.0,184717.0,186250.0,189000.0,194250.0,202917.0,203400.0,199650.0,195233.0,197583.0,197417.0,198467.0,196300.0,204800.0,205833.0,215167.0,217667.0,222167.0,213333.0,211667.0,212500.0,223333.0,223300.0,226600.0,231600.0,231300.0,232167.0,232833.0,242333.0,249583.0,243900.0,241367.0,230950.0,237633.0,236650.0,243983.0,238983.0,243333.0,245000
395168,374,"Tullahoma, TN",msa,TN,140667.0,141333.0,144167.0,148967.0,153550.0,153550.0,150233.0,148983.0,151883.0,154667.0,152333.0,144683.0,145583.0,145233.0,151817.0,160650.0,164333.0,164483.0,158383.0,162383.0,165033.0,161967.0,159800.0,155167.0,160167.0,166750.0,173417.0,186717.0,193283.0,197361.0,194061.0,193744.0,194567.0,195900.0,189567.0,186300.0,182133.0,191133.0,198333.0,209500.0,215500.0,223000.0,226933.0,231933.0,232267.0,232917.0,227917.0,231250.0,231667.0,240533.0,247200.0,258117.0,255917.0,254067.0,248150.0,253500.0,254167.0,249167.0,231917.0,224733.0,229700.0,249933.0,264967.0,283333
395222,375,"Whitewater, WI",msa,WI,214539.0,207106.0,213689.0,216800.0,224333.0,223000.0,216333.0,224633.0,223300.0,218133.0,197300.0,193800.0,203550.0,216917.0,226250.0,231633.0,234967.0,233300.0,228333.0,235000.0,231417.0,240417.0,229417.0,235500.0,239800.0,248467.0,249300.0,245317.0,251567.0,254900.0,270217.0,273300.0,274967.0,253667.0,241667.0,241667.0,250000.0,264500.0,274467.0,289467.0,288300.0,291667.0,288333.0,288667.0,285333.0,285583.0,286917.0,270250.0,269000.0,274567.0,302067.0,306400.0,317500.0,310000.0,318333.0,306400.0,316400.0,301600.0,302200.0,292200.0,294333.0,292300.0,310633.0,324967
394709,376,"Ithaca, NY",msa,NY,213833.0,218250.0,223583.0,230133.0,235800.0,242967.0,218000.0,216833.0,198833.0,217000.0,200190.0,188523.0,192023.0,201500.0,227583.0,232583.0,241083.0,238007.0,229007.0,230674.0,218500.0,213833.0,216333.0,224767.0,221433.0,222267.0,236167.0,248167.0,252833.0,258740.0,272073.0,277267.0,259860.0,249027.0,222500.0,207833.0,205000.0,228000.0,256333.0,278667.0,309000.0,323667.0,329167.0,303750.0,291667.0,271008.0,263092.0,253508.0,253333.0,279167.0,336500.0,369833.0,374167.0,348500.0,333000.0,319500.0,295833.0,286333.0,271833.0,269333.0,273833.0,292333.0,303500.0,331500
394637,377,"Grand Forks, ND",msa,MN,196133.0,204717.0,201750.0,206750.0,207667.0,214000.0,219500.0,216750.0,219250.0,207750.0,211500.0,193333.0,195000.0,193333.0,204000.0,212500.0,218167.0,218167.0,215583.0,211583.0,212917.0,211667.0,209667.0,200000.0,202667.0,203000.0,209667.0,210000.0,208167.0,214800.0,217967.0,221967.0,216167.0,216333.0,209317.0,203967.0,195800.0,205650.0,211800.0,222633.0,220967.0,229000.0,226317.0,228483.0,223817.0,217167.0,214750.0,216383.0,227883.0,243133.0,246500.0,251667.0,241000.0,239150.0,225817.0,221983.0,211500.0,218167.0,208833.0,207500.0,205833.0,222333.0,229500.0,241150
394524,378,"Decatur, IL",msa,IL,79417.0,87583.0,93500.0,97667.0,100667.0,104333.0,98333.0,90167.0,85250.0,82750.0,80917.0,78000.0,82667.0,89000.0,99000.0,102833.0,108167.0,106083.0,104333.0,96333.0,103417.0,99833.0,107167.0,93083.0,91333.0,88167.0,94417.0,101333.0,105417.0,108250.0,110083.0,106500.0,101500.0,98167.0,96000.0,98500.0,95667.0,98167.0,102167.0,108833.0,113833.0,115667.0,116667.0,111333.0,109333.0,106167.0,106167.0,103167.0,101000.0,103000.0,109667.0,120667.0,120000.0,121667.0,118150.0,120900.0,122567.0,125917.0,114667.0,106333.0,101500.0,114000.0,125250.0,129583
394762,379,"LaGrange, GA",msa,GA,131933.0,128950.0,130283.0,127167.0,133400.0,132400.0,130650.0,122450.0,122533.0,123117.0,122417.0,123567.0,136700.0,147367.0,149228.0,141512.0,141178.0,144583.0,143300.0,137950.0,141117.0,141983.0,142000.0,140333.0,142833.0,149500.0,150667.0,151217.0,153668.0,157502.0,164868.0,168083.0,161817.0,160733.0,157483.0,157050.0,163383.0,170933.0,182300.0,186117.0,181983.0,177650.0,172667.0,174833.0,172500.0,173250.0,170583.0,171583.0,177667.0,189167.0,201833.0,198667.0,196640.0,190640.0,193807.0,184667.0,184000.0,175000.0,181833.0,174333.0,176667.0,173167.0,193000.0,199667
